year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0,F = 0
3,2,0,F = 0.18
4,1,0.1,F = 0
4,2,0.05,F = 0.18
5,1,0.65,F = 0
5,2,0.2,F = 0.18
6,1,1.8499999999999999,F = 0
6,2,0.2,F = 0.18
7,1,3.8,F = 0
7,2,0.44999999999999996,F = 0.18
8,1,6,F = 0
8,2,0.6,F = 0.18
9,1,8,F = 0
9,2,0.7000000000000001,F = 0.18
10,1,11.4,F = 0
10,2,0.8500000000000001,F = 0.18
11,1,12.55,F = 0
11,2,0.75,F = 0.18
12,1,16.900000000000002,F = 0
12,2,1.2,F = 0.18
13,1,24.45,F = 0
13,2,3.05,F = 0.18
14,1,35.85,F = 0
14,2,5.25,F = 0.18
15,1,48.699999999999996,F = 0
15,2,9.35,F = 0.18
16,1,60.35,F = 0
16,2,13,F = 0.18
17,1,70.55,F = 0
17,2,18.45,F = 0.18
18,1,77.75,F = 0
18,2,21,F = 0.18
19,1,84.7,F = 0
19,2,24.45,F = 0.18
20,1,88.35,F = 0
20,2,27.700000000000003,F = 0.18
21,1,91.9,F = 0
21,2,30.4,F = 0.18
22,1,94.05,F = 0
22,2,33.4,F = 0.18
23,1,95.75,F = 0
23,2,36.3,F = 0.18
24,1,96.45,F = 0
24,2,39.25,F = 0.18
25,1,97.65,F = 0
25,2,43.05,F = 0.18
26,1,98.25,F = 0
26,2,47,F = 0.18
27,1,99.25,F = 0
27,2,50.74999999999999,F = 0.18
28,1,99.5,F = 0
28,2,55.65,F = 0.18
29,1,99.6,F = 0
29,2,56.85,F = 0.18
30,1,99.85000000000001,F = 0
30,2,58.45,F = 0.18
31,1,99.85000000000001,F = 0
31,2,61.199999999999996,F = 0.18
32,1,99.85000000000001,F = 0
32,2,63.449999999999996,F = 0.18
33,1,99.85000000000001,F = 0
33,2,63.65,F = 0.18
34,1,99.9,F = 0
34,2,65.75,F = 0.18
35,1,99.95,F = 0
35,2,65.75,F = 0.18
36,1,100,F = 0
36,2,66.85,F = 0.18
37,1,100,F = 0
37,2,68.15,F = 0.18
38,1,100,F = 0
38,2,69.69999999999999,F = 0.18
39,1,100,F = 0
39,2,71.5,F = 0.18
40,1,100,F = 0
40,2,72.89999999999999,F = 0.18
41,1,100,F = 0
41,2,74.1,F = 0.18
42,1,100,F = 0
42,2,73.2,F = 0.18
43,1,100,F = 0
43,2,73.65,F = 0.18
44,1,100,F = 0
44,2,74.9,F = 0.18
45,1,100,F = 0
45,2,75.85,F = 0.18
46,1,100,F = 0
46,2,76.44999999999999,F = 0.18
47,1,100,F = 0
47,2,77,F = 0.18
48,1,100,F = 0
48,2,76.7,F = 0.18
49,1,100,F = 0
49,2,77.05,F = 0.18
50,1,100,F = 0
50,2,76.75,F = 0.18
